CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY
근로기준법 일부개정법률안,2019-08-01,고용노동부,일자리
담배사업법 일부개정법률안,2019-08-01,기획재정부,행정
원자력안전위원회의 설치 및 운영에 관한 법률 일부개정법률안,2019-08-01,원자력안전위원회,안전/환경
원자력안전법 일부개정법률안,2019-08-01,원자력안전위원회,안전/환경
관광진흥법 일부개정법률안,2019-08-01,문화체육관광부,문화/예술/체육/언론
민법 일부개정법률안,2019-08-01,법무부,정치개혁
폐기물의 국가 간 이동 및 그 처리에 관한 법률 일부개정법률안,2019-08-01,환경부,안전/환경
인사청문회법 일부개정법률안,2019-08-01,법제처,정치개혁
실종성인의 소재발견 및 수색에 관한 법률안,2019-08-01,경찰청,행정
물환경보전법 일부개정법률안,2019-08-01,환경부,안전/환경
재난 및 안전관리 기본법 일부개정법률안,2019-08-01,행정안전부,행정
국유재산특례제한법 일부개정법률안,2019-08-01,기획재정부,행정
수입식품안전관리 특별법 일부개정법률안,2019-08-01,식품의약품안전처,안전/환경
약사법 일부개정법률안,2019-08-01,보건복지부,보건복지
공동주택관리법 일부개정법률안,2019-08-01,국토교통부,교통/건축/국토
출입국관리법 일부개정법률안,2019-08-01,법무부,정치개혁
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2019-08-02,고용노동부,일자리
자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2019-08-02,환경부,안전/환경
정부조직법 일부개정법률안,2019-08-02,행정안전부,행정
축산법 일부개정법률안,2019-08-02,농림축산식품부,농산어촌
정신건강증진 및 정신질환자 복지서비스 지원에 관한 법률 일부개정법률안,2019-08-02,보건복지부,보건복지
세종특별자치시 설치 등에 관한 특별법 전부개정법률안,2019-08-02,행정안전부,행정
근로기준법 일부개정법률안,2019-08-02,고용노동부,일자리
공공기관의 운영에 관한 법률 일부개정법률안,2019-08-02,기획재정부,행정
방위사업법 일부개정법률안,2019-08-02,국방부,외교/통일/국방
자원봉사활동 기본법 일부개정법률안,2019-08-02,행정안전부,행정
조세특례제한법 일부개정법률안,2019-08-02,기획재정부,행정
생활물류서비스산업발전법안,2019-08-02,국토교통부,교통/건축/국토
조세특례제한법 일부개정법률안,2019-08-02,기획재정부,행정
5·18민주화운동 진상규명을 위한 특별법 일부개정법률안,2019-08-05,국방부,외교/통일/국방
건설근로자의 고용개선 등에 관한 법률 일부개정법률안,2019-08-05,고용노동부,일자리
물관리기술 발전 및 물산업 진흥에 관한 법률  일부개정법률안,2019-08-05,환경부,안전/환경
장애아동 복지지원법 일부개정법률안,2019-08-05,보건복지부,보건복지
조세특례제한법 일부개정법률안,2019-08-05,기획재정부,행정
특허법 일부개정법률안,2019-08-05,특허청,기타
어린이안전관리에 관한 법률안,2019-08-05,행정안전부,행정
학교급식법 일부개정법률안,2019-08-05,교육부,육아/교육
도시공간 혁신 규제특례법안,2019-08-05,국토교통부,교통/건축/국토
국가공무원법 일부개정법률안,2019-08-05,인사혁신처,행정
의무소방대설치법 일부개정법률안,2019-08-05,소방청,안전/환경
공직선거법 일부개정법률안,2019-08-05,법제처,정치개혁
의무경찰대 설치 및 운영에 관한 법률 일부개정법률안,2019-08-05,경찰청,행정
의료법 일부개정법률안,2019-08-05,보건복지부,보건복지
지방공무원법 일부개정법률안,2019-08-05,행정안전부,행정
조세특례제한법 일부개정법률안,2019-08-06,기획재정부,행정
교통약자의 이동편의 증진법 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
근로기준법 일부개정법률안,2019-08-06,고용노동부,일자리
주택법 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
국민연금법 일부개정법률안,2019-08-06,보건복지부,보건복지
의료법 일부개정법률안,2019-08-06,보건복지부,보건복지
한국장학재단 설립 등에 관한 법률 일부개정법률안,2019-08-06,교육부,육아/교육
산림문화·휴양에 관한 법률 일부개정법률안,2019-08-06,산림청,안전/환경
조세특례제한법 일부개정법률안,2019-08-06,기획재정부,행정
마약류 관리에 관한 법률 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
스마트도시 조성 및 산업진흥 등에 관한 법률 일부개정법률안,2019-08-06,국토교통부,교통/건축/국토
정보통신산업 진흥법 일부개정법률안,2019-08-06,과학기술정보통신부,성장동력
인체조직안전 및 관리 등에 관한 법률 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
아동복지법 일부개정법률안,2019-08-06,보건복지부,보건복지
의료기기법 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
화장품법 일부개정법률안,2019-08-06,식품의약품안전처,안전/환경
국유재산법 일부개정법률안,2019-08-06,기획재정부,행정
전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2019-08-06,중소벤처기업부,일자리
형사소송법 일부개정법률안,2019-08-07,법무부,정치개혁
아시아문화중심도시 조성에 관한 특별법 일부개정법률안,2019-08-07,문화체육관광부,문화/예술/체육/언론
자본시장과 금융투자업에 관한 법률 일부개정법률안,2019-08-07,금융위원회,경제민주화
동물보호법 일부개정법률안,2019-08-07,농림축산식품부,농산어촌
조세특례제한법 일부개정법률안,2019-08-07,기획재정부,행정
