category,title,votes,end date
경제민주화,공익사업용 토지에 대한 양도세 감면 청원,290,2019-08-01
경제민주화,"******(구, *****)  대표 및 관련자들을 강력히 처벌해 주십시요!!!",149,2019-08-01
안전/환경,서울시장 박원순을 직권남용으로 인한 직위해제를 강력히 청원합니다.,5008,2019-08-01
보건복지,화상 환자분들도  장애인 등록해주세요`~,502,2019-08-01
외교/통일/국방,"정부, 우리 기업에 대한 中 갑질횡포에 적극 대응하고 도움이 필요합니다!",1305,2019-08-01
보건복지,국내 필수 품목 산업 보호를 통해 제 2 고어사 인공혈관 사태를 막아야 합니다.,780,2019-08-01
행정,청주***** 사태와  (주)*** ***의 시청및 경찰 유착의혹,2057,2019-08-01
정치개혁,외국인4명한테 집단폭행당했습니다,1148,2019-08-01
보건복지,오늘부터 제 아내는 ‘장애의 정도가 심한 장애인’ 입니다.,3282,2019-08-01
보건복지,미래 지향적 의료 정책 제안서 입니다. - 메디칼 홈 케어,294,2019-08-01
정치개혁,대한민국 사법정의를 위해서 감히 청원글 올립니다.,916,2019-08-01
일자리,마지막으로 호소합니다.**중공업 갑질을 막아주세요.,1559,2019-08-01
행정,"김포시 ""적폐공무원"" 부패 이대로 계속 방치하실겁니까?",557,2019-08-01
경제민주화,Xx*** (구 스포츠XX),168,2019-08-01
일자리,장애인들의 소중한 일자리를 되찾아주세요.,1320,2019-08-01
기타,공무원의 잘못된 행정에 국민들은 생명의 위협을 안고 살고 있습니다.,212,2019-08-01
기타,*** 대련 근무자 체불 임금,532,2019-08-01
보건복지,"암이지만 네가 알 필요는 없어, 이게 병원입니까?",13484,2019-08-01
인권/성평등,일베와 다를바없는 남초  커뮤니티의 성희롱게시글과 음란물유포 혐의를 수사해주세요.,42253,2019-08-02
교통/건축/국토,서동탄******,1011,2019-08-02
인권/성평등,**의 소비자 인권무시,150,2019-08-02
교통/건축/국토,서울시 버스업주 작은 교통사고로 냈다고 승무사원 임금 수당 지급 하지 않고 있읍니다.검토부탁합니다,457,2019-08-02
육아/교육,"어린이집 아동학대 및 강제퇴소, 역고소피해",254,2019-08-02
육아/교육,광양 **초등학교 행복주택사업 문의의 건,989,2019-08-02
육아/교육,면접교섭.친권박탈.접근금지 적용을 하게 도와주세요,222,2019-08-02
문화/예술/체육/언론,작사.작곡가이자 노래강사인 송ㅇㅇ의 불법 및 슈퍼 갑질을 고발합니다,1366,2019-08-02
교통/건축/국토,개선해주세요,201,2019-08-02
일자리,주52시간/최저임금인상으로 인한 힘든 자영업자들의 얘기를 들어주세요,1975,2019-08-02
일자리,평등이란 이름으로 행해지는 공무원 역차별을 멈춰주세요.,45526,2019-08-02
